response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0060,0.0027,0.0000,0.0001,0.0030,0.0002,200,0.0002
0.0072,0.0028,0.0000,0.0000,0.0042,0.0001,200,0.0063
0.0097,0.0027,0.0000,0.0000,0.0069,0.0001,200,0.0135
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.0232
0.0069,0.0025,0.0000,0.0001,0.0042,0.0001,200,0.0303
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.0372
0.0070,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.0443
0.0071,0.0027,0.0000,0.0001,0.0041,0.0001,200,0.0512
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.0583
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,0.0652
0.0070,0.0024,0.0000,0.0001,0.0044,0.0001,200,0.0723
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,0.0793
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.0863
0.0069,0.0027,0.0000,0.0001,0.0040,0.0001,200,0.0933
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,0.1003
0.0069,0.0027,0.0000,0.0001,0.0040,0.0001,200,0.1075
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.1144
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.1213
0.0070,0.0026,0.0000,0.0001,0.0042,0.0001,200,0.1283
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,0.1353
0.0088,0.0028,0.0000,0.0001,0.0058,0.0001,200,0.1425
0.0069,0.0026,0.0000,0.0001,0.0042,0.0001,200,0.1513
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.1582
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.1652
0.0110,0.0026,0.0000,0.0001,0.0082,0.0001,200,0.1722
0.0071,0.0028,0.0000,0.0001,0.0041,0.0001,200,0.1832
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,0.1903
0.0072,0.0028,0.0000,0.0000,0.0043,0.0001,200,0.1972
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,0.2044
0.0071,0.0025,0.0000,0.0001,0.0044,0.0001,200,0.2112
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.2183
0.0072,0.0029,0.0000,0.0000,0.0042,0.0001,200,0.2252
0.0068,0.0027,0.0000,0.0001,0.0039,0.0001,200,0.2324
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.2393
0.0072,0.0027,0.0000,0.0001,0.0043,0.0001,200,0.2463
0.0067,0.0026,0.0000,0.0001,0.0040,0.0001,200,0.2535
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,0.2602
0.0049,0.0025,0.0000,0.0001,0.0023,0.0000,200,0.2672
0.0071,0.0026,0.0000,0.0000,0.0044,0.0001,200,0.2722
0.0068,0.0025,0.0000,0.0000,0.0042,0.0000,200,0.2792
0.0071,0.0024,0.0000,0.0001,0.0045,0.0001,200,0.2861
0.0071,0.0025,0.0000,0.0000,0.0045,0.0001,200,0.2932
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.3003
0.0070,0.0029,0.0000,0.0000,0.0040,0.0001,200,0.3074
0.0071,0.0029,0.0000,0.0001,0.0040,0.0001,200,0.3144
0.0066,0.0026,0.0000,0.0001,0.0039,0.0001,200,0.3215
0.0071,0.0025,0.0000,0.0000,0.0045,0.0001,200,0.3281
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.3352
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,0.3423
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,0.3492
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.3564
0.0068,0.0025,0.0000,0.0001,0.0041,0.0001,200,0.3634
0.0072,0.0028,0.0000,0.0001,0.0042,0.0001,200,0.3702
0.0068,0.0024,0.0000,0.0000,0.0043,0.0001,200,0.3774
0.0069,0.0026,0.0000,0.0001,0.0041,0.0001,200,0.3842
0.0071,0.0028,0.0000,0.0000,0.0042,0.0001,200,0.3911
0.0090,0.0026,0.0000,0.0000,0.0063,0.0001,200,0.3983
0.0072,0.0028,0.0000,0.0001,0.0041,0.0001,200,0.4073
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,0.4144
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,0.4212
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.4282
0.0072,0.0026,0.0000,0.0001,0.0044,0.0001,200,0.4351
0.0069,0.0025,0.0000,0.0001,0.0042,0.0001,200,0.4423
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,0.4492
0.0070,0.0029,0.0000,0.0000,0.0040,0.0001,200,0.4564
0.0072,0.0043,0.0000,0.0001,0.0027,0.0001,200,0.4634
0.0066,0.0027,0.0000,0.0000,0.0037,0.0001,200,0.4706
0.0069,0.0026,0.0000,0.0001,0.0042,0.0001,200,0.4772
0.0071,0.0028,0.0000,0.0000,0.0042,0.0001,200,0.4842
0.0071,0.0029,0.0000,0.0000,0.0041,0.0001,200,0.4913
0.0067,0.0027,0.0000,0.0001,0.0039,0.0001,200,0.4984
0.0071,0.0027,0.0000,0.0001,0.0042,0.0001,200,0.5052
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.5123
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,0.5192
0.0092,0.0028,0.0000,0.0000,0.0062,0.0001,200,0.5262
0.0068,0.0025,0.0000,0.0000,0.0042,0.0001,200,0.5353
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,0.5422
0.0252,0.0221,0.0000,0.0001,0.0028,0.0001,200,0.5492
0.0068,0.0027,0.0000,0.0000,0.0040,0.0001,200,0.5743
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,0.5812
0.0111,0.0026,0.0000,0.0001,0.0083,0.0001,200,0.5882
0.0070,0.0029,0.0000,0.0000,0.0040,0.0001,200,0.5993
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.6063
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.6132
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.6203
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.6273
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.6342
0.0069,0.0027,0.0000,0.0001,0.0041,0.0001,200,0.6413
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.6482
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,0.6553
0.0072,0.0029,0.0000,0.0000,0.0041,0.0001,200,0.6623
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,0.6694
0.0069,0.0029,0.0000,0.0000,0.0039,0.0001,200,0.6764
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.6833
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,0.6903
0.0081,0.0027,0.0000,0.0000,0.0052,0.0001,200,0.6972
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.7053
0.0069,0.0025,0.0000,0.0001,0.0042,0.0001,200,0.7124
0.0071,0.0028,0.0000,0.0001,0.0042,0.0001,200,0.7192
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,0.7263
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.7332
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.7402
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,0.7473
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,0.7543
0.0069,0.0029,0.0000,0.0001,0.0039,0.0001,200,0.7614
0.0068,0.0027,0.0000,0.0000,0.0040,0.0001,200,0.7684
0.0072,0.0027,0.0000,0.0000,0.0043,0.0001,200,0.7752
0.0091,0.0028,0.0000,0.0000,0.0061,0.0001,200,0.7824
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,0.7915
0.0089,0.0027,0.0000,0.0001,0.0061,0.0001,200,0.7984
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,0.8073
0.0068,0.0025,0.0000,0.0000,0.0042,0.0001,200,0.8144
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,0.8212
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,0.8283
0.0069,0.0027,0.0000,0.0000,0.0040,0.0001,200,0.8353
0.0073,0.0027,0.0000,0.0001,0.0043,0.0001,200,0.8421
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.8494
0.0068,0.0025,0.0000,0.0000,0.0042,0.0001,200,0.8564
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.8632
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.8703
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,0.8771
0.0072,0.0027,0.0000,0.0000,0.0043,0.0001,200,0.8841
0.0069,0.0025,0.0000,0.0001,0.0043,0.0001,200,0.8913
0.0071,0.0025,0.0000,0.0000,0.0045,0.0001,200,0.8982
0.0072,0.0028,0.0000,0.0000,0.0042,0.0001,200,0.9052
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.9124
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,0.9192
0.0071,0.0026,0.0000,0.0001,0.0044,0.0001,200,0.9262
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,0.9333
0.0073,0.0028,0.0000,0.0001,0.0044,0.0001,200,0.9401
0.0069,0.0029,0.0000,0.0001,0.0038,0.0001,200,0.9475
0.0069,0.0026,0.0000,0.0001,0.0041,0.0001,200,0.9544
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,0.9613
0.0071,0.0033,0.0000,0.0001,0.0037,0.0001,200,0.9682
0.0069,0.0027,0.0000,0.0000,0.0040,0.0001,200,0.9754
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,0.9822
0.0068,0.0025,0.0000,0.0001,0.0042,0.0001,200,0.9893
0.0072,0.0028,0.0000,0.0000,0.0043,0.0001,200,0.9962
0.0119,0.0025,0.0000,0.0000,0.0092,0.0001,200,1.0033
0.0069,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.0153
0.0070,0.0029,0.0000,0.0001,0.0039,0.0001,200,1.0222
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.0292
0.0109,0.0026,0.0000,0.0000,0.0081,0.0001,200,1.0363
0.0070,0.0028,0.0000,0.0001,0.0041,0.0001,200,1.0472
0.0070,0.0026,0.0000,0.0000,0.0042,0.0002,200,1.0543
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,1.0613
0.0073,0.0028,0.0000,0.0000,0.0043,0.0001,200,1.0682
0.0066,0.0027,0.0000,0.0001,0.0038,0.0001,200,1.0756
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.0822
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.0892
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.0963
0.0072,0.0029,0.0000,0.0000,0.0041,0.0001,200,1.1033
0.0067,0.0026,0.0000,0.0001,0.0040,0.0001,200,1.1105
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.1172
0.0069,0.0025,0.0000,0.0001,0.0042,0.0001,200,1.1243
0.0071,0.0028,0.0000,0.0001,0.0041,0.0001,200,1.1312
0.0069,0.0028,0.0000,0.0001,0.0040,0.0001,200,1.1383
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.1452
0.0070,0.0025,0.0000,0.0001,0.0042,0.0001,200,1.1522
0.0071,0.0026,0.0000,0.0001,0.0043,0.0001,200,1.1592
0.0090,0.0026,0.0000,0.0000,0.0062,0.0001,200,1.1663
0.0070,0.0025,0.0000,0.0001,0.0043,0.0001,200,1.1753
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.1823
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,1.1893
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.1962
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.2032
0.0059,0.0025,0.0000,0.0000,0.0032,0.0001,200,1.2103
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.2162
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.2232
0.0073,0.0028,0.0000,0.0000,0.0042,0.0001,200,1.2302
0.0069,0.0028,0.0000,0.0000,0.0040,0.0001,200,1.2374
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,1.2444
0.0062,0.0027,0.0000,0.0000,0.0034,0.0001,200,1.2512
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,1.2574
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.2642
0.0070,0.0029,0.0000,0.0001,0.0039,0.0001,200,1.2712
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.2782
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,1.2852
0.0110,0.0026,0.0000,0.0001,0.0082,0.0001,200,1.2923
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.3032
0.0069,0.0030,0.0000,0.0001,0.0037,0.0001,200,1.3103
0.0070,0.0025,0.0000,0.0001,0.0043,0.0001,200,1.3172
0.0070,0.0028,0.0000,0.0001,0.0040,0.0001,200,1.3242
0.0072,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.3312
0.0069,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.3384
0.0069,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.3452
0.0072,0.0028,0.0000,0.0001,0.0042,0.0001,200,1.3522
0.0069,0.0028,0.0000,0.0000,0.0039,0.0001,200,1.3594
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.3663
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,1.3734
0.0071,0.0028,0.0000,0.0001,0.0041,0.0001,200,1.3802
0.0071,0.0026,0.0000,0.0001,0.0043,0.0001,200,1.3873
0.0068,0.0025,0.0000,0.0000,0.0041,0.0001,200,1.3944
0.0071,0.0027,0.0000,0.0001,0.0042,0.0001,200,1.4012
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,1.4083
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.4154
0.0088,0.0026,0.0000,0.0000,0.0060,0.0001,200,1.4224
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.4312
0.0072,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.4381
0.0071,0.0026,0.0000,0.0001,0.0044,0.0001,200,1.4453
0.0068,0.0025,0.0000,0.0001,0.0041,0.0001,200,1.4524
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,1.4592
0.0070,0.0026,0.0000,0.0001,0.0043,0.0001,200,1.4663
0.0069,0.0028,0.0000,0.0001,0.0040,0.0001,200,1.4733
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.4802
0.0071,0.0027,0.0000,0.0000,0.0043,0.0001,200,1.4872
0.0072,0.0027,0.0000,0.0001,0.0043,0.0001,200,1.4942
0.0068,0.0027,0.0000,0.0000,0.0040,0.0001,200,1.5014
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.5082
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.5152
0.0071,0.0027,0.0000,0.0001,0.0042,0.0001,200,1.5222
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.5292
0.0069,0.0028,0.0000,0.0001,0.0039,0.0001,200,1.5362
0.0072,0.0028,0.0000,0.0000,0.0042,0.0001,200,1.5431
0.0088,0.0027,0.0000,0.0001,0.0060,0.0001,200,1.5504
0.0073,0.0026,0.0000,0.0001,0.0045,0.0001,200,1.5592
0.0068,0.0025,0.0000,0.0000,0.0041,0.0001,200,1.5665
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.5733
0.0072,0.0028,0.0000,0.0000,0.0043,0.0001,200,1.5802
0.0069,0.0026,0.0000,0.0001,0.0041,0.0001,200,1.5874
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,1.5943
0.0073,0.0029,0.0000,0.0001,0.0041,0.0001,200,1.6012
0.0067,0.0028,0.0000,0.0001,0.0037,0.0001,200,1.6085
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,1.6152
0.0069,0.0025,0.0000,0.0001,0.0043,0.0001,200,1.6222
0.0102,0.0034,0.0000,0.0000,0.0066,0.0001,200,1.6291
0.0072,0.0029,0.0000,0.0000,0.0041,0.0001,200,1.6393
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,1.6465
0.0101,0.0028,0.0000,0.0000,0.0071,0.0001,200,1.6535
0.0067,0.0026,0.0000,0.0001,0.0039,0.0001,200,1.6636
0.0071,0.0025,0.0000,0.0001,0.0043,0.0001,200,1.6703
0.0101,0.0029,0.0000,0.0000,0.0071,0.0001,200,1.6773
0.0067,0.0027,0.0000,0.0000,0.0039,0.0001,200,1.6874
0.0070,0.0024,0.0000,0.0001,0.0043,0.0001,200,1.6942
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.7012
0.0071,0.0028,0.0000,0.0001,0.0041,0.0001,200,1.7082
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,1.7153
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.7222
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.7292
0.0070,0.0025,0.0000,0.0001,0.0043,0.0001,200,1.7362
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,1.7432
0.0073,0.0028,0.0000,0.0001,0.0043,0.0001,200,1.7502
0.0067,0.0024,0.0000,0.0001,0.0041,0.0001,200,1.7575
0.0071,0.0025,0.0000,0.0001,0.0044,0.0001,200,1.7641
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,1.7712
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,1.7781
0.0071,0.0025,0.0000,0.0000,0.0044,0.0001,200,1.7851
0.0072,0.0028,0.0000,0.0001,0.0042,0.0001,200,1.7922
0.0068,0.0027,0.0000,0.0001,0.0039,0.0001,200,1.7994
0.0090,0.0027,0.0000,0.0000,0.0061,0.0001,200,1.8062
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,1.8152
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,1.8223
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.8293
0.0112,0.0028,0.0000,0.0000,0.0082,0.0001,200,1.8362
0.0070,0.0029,0.0000,0.0000,0.0040,0.0001,200,1.8474
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,1.8544
0.0069,0.0026,0.0000,0.0001,0.0041,0.0001,200,1.8612
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,1.8681
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,1.8751
0.0071,0.0026,0.0000,0.0000,0.0044,0.0001,200,1.8821
0.0070,0.0026,0.0000,0.0001,0.0042,0.0001,200,1.8892
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,1.8962
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,1.9033
0.0069,0.0026,0.0000,0.0001,0.0042,0.0001,200,1.9102
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,1.9171
0.0071,0.0029,0.0000,0.0000,0.0041,0.0001,200,1.9242
0.0119,0.0027,0.0000,0.0000,0.0090,0.0001,200,1.9313
0.0063,0.0029,0.0000,0.0000,0.0033,0.0001,200,1.9432
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,1.9495
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,1.9563
0.0071,0.0025,0.0000,0.0001,0.0045,0.0001,200,1.9631
0.0069,0.0025,0.0000,0.0000,0.0042,0.0001,200,1.9702
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.9772
0.0071,0.0027,0.0000,0.0000,0.0042,0.0001,200,1.9842
0.0071,0.0028,0.0000,0.0001,0.0042,0.0001,200,1.9913
0.0070,0.0030,0.0000,0.0001,0.0038,0.0001,200,1.9984
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,2.0054
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.0123
0.0070,0.0027,0.0000,0.0001,0.0041,0.0001,200,2.0194
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,2.0264
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.0332
